FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,NYDFS Requirement Title,Target ID #,NYDFS Requirement Description,Notes
164.308(a)(7)(ii)(B),Disaster Recovery Plan,Description Data recovery planning & procedures Regulation Establish (and implement as needed) procedures to restore loss of data.,medium,functional,"HIPAA 164.308(a)(7)(ii)(B) requires Description Data recovery planning & procedures Regulation Establish (and implement as needed) procedures to restore loss of data.. NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address incident response. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: incident response. Divergence: HIPAA emphasizes data, procedures, recovery; NYDFS emphasizes incident, response, 500."
164.308(a)(7)(ii)(C),Emergency Mode Operation Plan,Description Business continuity procedures Regulation Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operation in emergency mode.,medium,functional,"HIPAA 164.308(a)(7)(ii)(C) requires Description Business continuity procedures Regulation Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address data protection. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: data protection. Divergence: HIPAA emphasizes emergency, mode, operation; NYDFS emphasizes incident, response, 500."
164.308(a)(7)(ii)(D),Testing and Revision Procedures,Description Contingency planning periodic testing procedures Regulation Implement procedures for periodic testing and revision of contingency plans.,medium,functional,"HIPAA 164.308(a)(7)(ii)(D) requires Description Contingency planning periodic testing procedures Regulation Implement procedures for periodic testing and revision of contingency plans.. NYDFS 500.8 requires (a) Each covered entity’s cybersecurity program shall include written procedures, guidelines and standards designed to ensure the use of secure development practices for in-hous.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.8 Application security,500.8,"(a) Each covered entity’s cybersecurity program shall include written procedures, guidelines and standards designed to ensure the use of secure development practices for in-house developed applications utilized by the covered entity, and procedures for evaluating, assessing or testing the security of externally developed applications utilized by the covered entity within the context of the covered entity’s technology environment. (b) All such procedures, guidelines and standards shall be peri...","Overlap: governance and policy; audit and monitoring. Divergence: HIPAA emphasizes contingency, periodic, revision; NYDFS emphasizes applications, developed, utilized."
164.308(a)(7)(ii)(E),Applications and Data Criticality Analysis,Description Prioritize data and system criticality for contingency planning Regulation Assess the relative criticality of specific applications and data in support of other contingency plan components.,medium,functional,"HIPAA 164.308(a)(7)(ii)(E) requires Description Prioritize data and system criticality for contingency planning Regulation Assess the relative criticality of specific applications and data in support of other cont.... NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address security and privacy governance. There is minimal meaningful overlap.",not_related,1,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","No substantive thematic overlap detected. Focal terms: criticality, applications, contingency. Target terms: 500, basis, disposal."
164.308(a)(8),Evaluation,"Description Periodic security evaluation Regulation Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that established the extent to which an entity's security policies and procedures meet the requirements of this subpart.",medium,functional,"HIPAA 164.308(a)(8) requires Description Periodic security evaluation Regulation Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and.... NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: governance and policy; data protection. Divergence: HIPAA emphasizes evaluation, administrative, affecting; NYDFS emphasizes 500, basis, data."
164.308(b)(1),Business Associate Contracts and Other Arrangements,"Description CE implement BACs to ensure safeguards Regulation A covered entity, in accordance with § 164.306, may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a) that the business associate will appropriately safeguard the information. (2) This standard does not apply with respect to - (i) The transmission by a...",medium,functional,"HIPAA 164.308(b)(1) requires Description CE implement BACs to ensure safeguards Regulation A covered entity, in accordance with § 164.306, may permit a business associate to create, receive, maintain, or tr.... NYDFS 500.15 requires (a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.15 Encryption of nonpublic information,500.15,"(a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held or transmitted by the covered entity both in transit over external networks and at rest. (1) To the extent a covered entity determines that encryption of nonpublic information in transit over external networks is infeasible, the covered entity may instead secure such nonpublic information using effective alternative c...","Shared scope: data protection. HIPAA emphasizes safeguards, 164, accordance; NYDFS additionally includes encryption, nonpublic, 500."
164.308(b)(4),Written Contract,Description Implement compliant BACs Regulation Document the satisfactory assurances required by paragraph (b)(1) of this section through a written contract or other arrangement with the business associate that meets the applicable requirements of § 164.314(a).,medium,functional,"HIPAA 164.308(b)(4) requires Description Implement compliant BACs Regulation Document the satisfactory assurances required by paragraph (b)(1) of this section through a written contract or other arrangement.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address security and privacy governance. There is minimal meaningful overlap.",not_related,1,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","No substantive thematic overlap detected. Focal terms: contract, 164, administrative. Target terms: incident, plan, response."
164.310 (a)(1),Facility Access Controls,"Description P&P to limit access to systems and facilities Regulation Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",medium,functional,"HIPAA 164.310 (a)(1) requires Description P&P to limit access to systems and facilities Regulation Implement policies and procedures to limit physical access to its electronic information systems and the fac.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: access control. Divergence: HIPAA emphasizes facilities, facility, physical; NYDFS emphasizes privileges, 500, assessment."
164.310(a)(2)(i),Contingency Operations,Description Procedures to support emergency operations and recovery Regulation Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.,medium,functional,"HIPAA 164.310(a)(2)(i) requires Description Procedures to support emergency operations and recovery Regulation Establish (and implement as needed) procedures that allow facility access in support of restoratio.... NYDFS 500.16 requires (a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecuri.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.16 Incident response plan,500.16,"(a) As part of its cybersecurity program, each covered entity shall establish a written incident response plan designed to promptly respond to, and recover from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. (b) Such incident response plan shall address the following areas: (1) the internal processes for respond...","Overlap: access control; incident response. Divergence: HIPAA emphasizes emergency, procedures, recovery; NYDFS emphasizes incident, response, 500."
164.310(a)(2)(ii),Facility Security Plan,"Description P&P to safeguard equipment and facilities Regulation Implement policies and procedures to safeguard the facility and the equipment there in from unauthorized physical access, tampering, and theft.",medium,functional,"HIPAA 164.310(a)(2)(ii) requires Description P&P to safeguard equipment and facilities Regulation Implement policies and procedures to safeguard the facility and the equipment there in from unauthorized physica.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy. Divergence: HIPAA emphasizes equipment, facility, physical; NYDFS emphasizes authorized, training, users."
164.310(a)(2)(iii),Access Control Validation Procedures,"Description Facility access procedures for personnel Regulation Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.",medium,functional,"HIPAA 164.310(a)(2)(iii) requires Description Facility access procedures for personnel Regulation Implement procedures to control and validate a person's access to facilities based on their role or function, inc.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: access control; audit and monitoring. Divergence: HIPAA emphasizes procedures, description, facilities; NYDFS emphasizes privileges, 500, assessment."
164.310(a)(2)(iv),Maintenance Records,"Description P&P to document security-related repairs and modifications Regulation Implement policies and procedures to document repairs and modifications to the physical components of a facility that are related to security (for example, hardware, walls, doors, and locks).",medium,functional,"HIPAA 164.310(a)(2)(iv) requires Description P&P to document security-related repairs and modifications Regulation Implement policies and procedures to document repairs and modifications to the physical compone.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: governance and policy. Divergence: HIPAA emphasizes document, modifications, physical; NYDFS emphasizes authorized, training, users."
164.310(b),Workstation Use,"Description P&P to specify workstation environment & use Regulation Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",medium,functional,"HIPAA 164.310(b) requires Description P&P to specify workstation environment & use Regulation Implement policies and procedures that specify the proper functions to be performed, the manner in which thos.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; data protection. Divergence: HIPAA emphasizes workstation, functions, performed; NYDFS emphasizes authorized, training, users."
164.310(c),Workstation Security,"Description Physical safeguards for workstation access Regulation Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",medium,functional,"HIPAA 164.310(c) requires Description Physical safeguards for workstation access Regulation Implement physical safeguards for all workstations that access electronic protected health information, to rest.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; data protection. Divergence: HIPAA emphasizes physical, safeguards, workstation; NYDFS emphasizes training, 500, activity."
164.310(d)(1),Device and Media Controls,"Description P&P to govern receipt and removal of hardware and media Regulation Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",medium,functional,"HIPAA 164.310(d)(1) requires Description P&P to govern receipt and removal of hardware and media Regulation Implement policies and procedures that govern the receipt and removal of hardware and electronic m.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: governance and policy; data protection. Divergence: HIPAA emphasizes media, electronic, facility; NYDFS emphasizes authorized, training, users."
164.310(d)(2)(i),Disposal,"Description P&P to manage media and equipment disposal Regulation Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on which it is stored.",medium,functional,"HIPAA 164.310(d)(2)(i) requires Description P&P to manage media and equipment disposal Regulation Implement policies and procedures to address the final disposition of electronic protected health information,.... NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: governance and policy; data protection. Divergence: HIPAA emphasizes electronic, media, address; NYDFS emphasizes 500, basis, data."
164.310(d)(2)(ii),Media Re-use,Description P&P to remove PHI from media and equipment Regulation Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.,medium,functional,"HIPAA 164.310(d)(2)(ii) requires Description P&P to remove PHI from media and equipment Regulation Implement procedures for removal of electronic protected health information from electronic media before the me.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: governance and policy; data protection. Divergence: HIPAA emphasizes media, electronic, re-use; NYDFS emphasizes authorized, training, users."
164.310(d)(2)(iii),Accountability,Description Document hardware and media movement Regulation Maintain a record of the movements of hardware and electronic media and any person responsible therefore.,medium,functional,"HIPAA 164.310(d)(2)(iii) requires Description Document hardware and media movement Regulation Maintain a record of the movements of hardware and electronic media and any person responsible therefore.. NYDFS 500.2 requires (a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s.... Both address access control. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.2 Cybersecurity program,500.2,"(a) Cybersecurity program. Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems. (b) The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions: (1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on...","Shared scope: access control. HIPAA emphasizes hardware, media, accountability; NYDFS additionally includes 500."
164.310(d)(2)(iv),Data Backup and Storage,"Description Backup PHI before moving equipment Regulation Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.",medium,functional,"HIPAA 164.310(d)(2)(iv) requires Description Backup PHI before moving equipment Regulation Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.. NYDFS 500.13 requires As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identifi.... Both address data protection. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.13 Limitations on data retention,500.13,"As part of its cybersecurity program, each covered entity shall include policies and procedures for the secure disposal on a periodic basis of any nonpublic information identified in section 500.1(g)(2)-(3) of this Part that is no longer necessary for business operations or for other legitimate business purposes of the covered entity, except where such information is otherwise required to be retained by law or regulation, or where targeted disposal is not reasonably feasible due to the manner...","Overlap: data protection. Divergence: HIPAA emphasizes backup, before, equipment; NYDFS emphasizes 500, basis, disposal."
164.312(a)(1),Access Control,Description Technical (administrative) P&P to manage PHI access Regulation Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,medium,functional,"HIPAA 164.312(a)(1) requires Description Technical (administrative) P&P to manage PHI access Regulation Implement technical policies and procedures for electronic information systems that maintain electroni.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. The requirements are materially equivalent in scope and intent.",equal,9,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020",Shared scope: access control; data protection. No material divergence detected.
164.312(a)(2)(i),Unique User Identification,Description Assign unique IDs to support tracking Regulation Assign a unique name and/or number for identifying and tracking user identity.,medium,functional,"HIPAA 164.312(a)(2)(i) requires Description Assign unique IDs to support tracking Regulation Assign a unique name and/or number for identifying and tracking user identity.. NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: access control. Divergence: HIPAA emphasizes unique, assign, tracking; NYDFS emphasizes access, privileges, 500."
164.312(a)(2)(ii),Emergency Access Procedure,Description Procedures to support emergency access Regulation Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,medium,functional,"HIPAA 164.312(a)(2)(ii) requires Description Procedures to support emergency access Regulation Establish (and implement as needed) procedures for obtaining necessary electronic protected health information duri.... NYDFS 500.7 requires As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide ac.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.7 Access privileges,500.7,"As part of its cybersecurity program, based on the covered entity’s risk assessment each covered entity shall limit user access privileges to information systems that provide access to nonpublic information and shall periodically review such access privileges. 23 CRR-NY 500.7 Current through June 30, 2020","Overlap: access control; data protection. Divergence: HIPAA emphasizes emergency, procedures, description; NYDFS emphasizes privileges, 500, assessment."
164.312(a)(2)(iii),Automatic Logoff,Description Session termination mechanisms Regulation Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,medium,functional,"HIPAA 164.312(a)(2)(iii) requires Description Session termination mechanisms Regulation Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.. NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address governance and policy. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: governance and policy; audit and monitoring. Divergence: HIPAA emphasizes electronic, session, after; NYDFS emphasizes authorized, training, users."
164.312(a)(2)(iv),Encryption and Decryption,Description Mechanism for encryption of stored PHI Regulation Implement a mechanism to encrypt and decrypt electronic protected health information.,medium,functional,"HIPAA 164.312(a)(2)(iv) requires Description Mechanism for encryption of stored PHI Regulation Implement a mechanism to encrypt and decrypt electronic protected health information.. NYDFS 500.15 requires (a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held.... Both address data protection. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.15 Encryption of nonpublic information,500.15,"(a) As part of its cybersecurity program, based on its risk assessment, each covered entity shall implement controls, including encryption, to protect nonpublic information held or transmitted by the covered entity both in transit over external networks and at rest. (1) To the extent a covered entity determines that encryption of nonpublic information in transit over external networks is infeasible, the covered entity may instead secure such nonpublic information using effective alternative c...","Shared scope: data protection. HIPAA emphasizes mechanism, decrypt, decryption; NYDFS additionally includes nonpublic, 500, assessment."
164.312(b),Audit Controls,"Description Procedures and mechanisms for monitoring system activity Regulation Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",medium,functional,"HIPAA 164.312(b) requires Description Procedures and mechanisms for monitoring system activity Regulation Implement hardware, software, and/or procedural mechanisms that record and examine activity in in.... NYDFS 500.6 requires (a) Each covered entity shall securely maintain systems that, to the extent applicable and based on its risk assessment: (1) are designed to reconstruct material financial trans.... Both address audit and monitoring. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.6 Audit trail,500.6,"(a) Each covered entity shall securely maintain systems that, to the extent applicable and based on its risk assessment: (1) are designed to reconstruct material financial transactions sufficient to support normal operations and obligations of the covered entity; and (2) include audit trails designed to detect and respond to cybersecurity events that have a reasonable likelihood of materially harming any material part of the normal operations of the covered entity. (b) Each covered entity sha...","Overlap: audit and monitoring. Divergence: HIPAA emphasizes activity, mechanisms, contain; NYDFS emphasizes designed, material, 500."
164.312(c)(1),Integrity,Description P&P to safeguard PHI unauthorized alteration Regulation Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.,medium,functional,"HIPAA 164.312(c)(1) requires Description P&P to safeguard PHI unauthorized alteration Regulation Implement policies and procedures to protect electronic protected health information from improper alteration.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; governance and policy; data protection. Divergence: HIPAA emphasizes alteration, description, destruction; NYDFS emphasizes authorized, training, users."
164.312(c)(2),Mechanism to Authenticate Electronic Protected Health Information,Description Mechanisms to corroborate PHI not altered Regulation Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.,medium,functional,"HIPAA 164.312(c)(2) requires Description Mechanisms to corroborate PHI not altered Regulation Implement electronic mechanisms to corroborate that electronic protected health information has not been altered.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; data protection. Divergence: HIPAA emphasizes electronic, altered, corroborate; NYDFS emphasizes authorized, training, users."
164.312(d),Person or Entity Authentication,Description Procedures to verify identities Regulation Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,medium,functional,"HIPAA 164.312(d) requires Description Procedures to verify identities Regulation Implement procedures to verify that a person or entity seeking access to electronic protected health information is the on.... NYDFS 500.12 requires (a) Multi-factor authentication. Based on its risk assessment, each covered entity shall use effective controls, which may include multi-factor authentication or risk-based auth.... Both address access control. HIPAA is narrower and fits within NYDFS scope.",subset_of,6,500.12 Multi-factor authentication,500.12,"(a) Multi-factor authentication. Based on its risk assessment, each covered entity shall use effective controls, which may include multi-factor authentication or risk-based authentication, to protect against unauthorized access to nonpublic information or information systems. (b) Multi-factor authentication shall be utilized for any individual accessing the covered entity’s internal networks from an external network, unless the covered entity’s CISO has approved in writing the use of reasonab...","Shared scope: access control; data protection. HIPAA emphasizes person, procedures, verify; NYDFS additionally includes multi-factor, 500."
164.312(e)(1),Transmission Security,Description Measures to guard against unauthorized access to transmitted PHI Regulation Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,medium,functional,"HIPAA 164.312(e)(1) requires Description Measures to guard against unauthorized access to transmitted PHI Regulation Implement technical security measures to guard against unauthorized access to electronic.... NYDFS 500.14 requires As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users.... Both address access control. They overlap in objective but differ in implementation detail or scope.",intersects_with,3,500.14 Training and monitoring,500.14,"As part of its cybersecurity program, each covered entity shall: (a) implement risk-based policies, procedures and controls designed to monitor the activity of authorized users and detect unauthorized access or use of, or tampering with, nonpublic information by such authorized users; and (b) provide regular cybersecurity awareness training for all personnel that is updated to reflect risks identified by the covered entity in its risk assessment. 23 CRR-NY 500.14 Current through June 30, 2020","Overlap: access control; data protection. Divergence: HIPAA emphasizes against, electronic, guard; NYDFS emphasizes authorized, training, users."
