controlId,title,family,description,subFamily,objectives,enhancements
CA-7(1),INDEPENDENT ASSESSMENT,"CA - SECURITY ASSESSMENT AND
 AUTHORIZATION","The use of independent security assessment agents or teams to monitor security controls is not required; however, if the organization employs assessors or assessment teams with CMS- defined level of independence to monitor the security controls in the information system on an ongoing basis, this can be used to satisfy security control assessment requirements.",CA-7,,"GUIDANCE Organizations can maximize the value of assessments of security controls during the continuous monitoring process by requiring assessments based on continuous monitoring strategies and conducted independently by assessors or assessment teams with appropriate levels of independence. Assessor independence provides a degree of impartiality to the monitoring process. To achieve such impartiality, assessors should not (i) create a mutual or conflicting interest with the organizations where the assessments are conducted; (ii) assess their own work; (iii) act as management or employees of the organizations they are serving; or (iv) place themselves in advocacy positions for the organizations acquiring their services. CMS guidance for employing independent assessors is provided in the Framework of Independent Assessment of Security Controls, located at: https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates . CMS provides specific submission requirements and due dates required by the independent assessment in the MARS-E Security and Privacy Agreements and Compliance Artifacts briefing and supporting table located at https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates ."
CA-8,PENETRATION TESTING,"CA - SECURITY ASSESSMENT AND
 AUTHORIZATION","The organization conducts both internal and external penetration testing, within every three hundred sixty-five (365) days, on defined information systems or system components (defined in the applicable system security plan), or whenever there has been a significant change to the system. As a minimum, penetration testing must be conducted to determine: a. How well the system tolerates real world-style attack patterns; b. The likely level of sophistication an attacker needs to successfully compromise the system; c. Additional countermeasures that could mitigate threats against the system; and d. Defenders’ ability to detect attacks and respond appropriately.",CA-8,"CA-8-1: 1. Conduct internal and external penetration testing as needed but no less often than once every three hundred sixty-five (365) days. | CA-8-2: 2. Penetration tests are performed when new risks and threats potentially affecting the system/applications are identified and reported or upon request from CMS. | CA-8-3: 3. Penetration test scanning includes evaluation of embedded structures (e.g., content that can be changed without reloading the anchor content) and interactive content. | CA-8-4: 4. Penetration testing on a production system must be conducted in a manner that minimizes risk of information corruption or service outage. | CA-8-5: 5. The organization must provide to CMS the results of penetration testing based on the schedule stated in the Information Security and Privacy Continuous Monitoring (ISCM) Guide for Administering Entity (AE) Systems in Operation that can be found at: https://zone.cms.gov/document/information-security-and-privacy-continuous-monitoring-guide-administering-entity-systems.","GUIDANCE Penetration testing is a specialized type of assessment conducted on information systems or individual system components to identify vulnerabilities that could be exploited by adversaries. When user session information and other PII is captured or recorded during penetration testing, ensure relevant privacy controls are addressed. Such testing can be used to either validate vulnerabilities or determine the degree of resistance organizational information systems will have against adversaries within a set of specified constraints (e.g., time, resources, and/or skills). Penetration testing attempts to duplicate the actions of internal and external adversaries in carrying out hostile cyber-attacks against organizations and provides a more in-depth analysis of security-related weaknesses/deficiencies. Organizations can also use the results of vulnerability analyses to support penetration testing activities. Penetration testing can be conducted on the hardware, software, or firmware components of an information system and can exercise both physical and technical security controls. A standard method for penetration testing includes, for example: (1) pretest analysis based on full knowledge of the target system; (2) pretest identification of potential vulnerabilities based on pretest analysis; and (3) testing designed to determine exploitability of identified vulnerabilities. All parties agree to the rules of engagement before the commencement of penetration testing scenarios. Organizations correlate the penetration testing rules of engagement with the tools, techniques, and procedures that are anticipated to be employed by adversaries carrying out attacks. Organizational risk assessments guide decisions on the level of independence required for personnel conducting penetration testing. External penetration testing attempts to duplicate the actions of external adversaries (outside the security perimeter) in carrying out hostile cyber-attacks against the organization. Internal penetration testing is performed from inside the system security perimeter. https://www.fedramp.gov/assets/resources/documents/CSP_Penetration_Test_Guidance.pdf"
CA-8(1),INDEPENDENT PENETRATION AGENT OR TEAM,"CA - SECURITY ASSESSMENT AND
 AUTHORIZATION",The organization employs an independent penetration agent or penetration team to perform penetration testing on the information system or system components.,CA-8,CA-8(1)-1: Penetration testing conducted as part of Independent Assessment for meeting annual attestation and ISA renewal requirements must be performed by an independent penetration agent. Organizations are encouraged to perform penetration testing on a periodic basis; periodic penetration testing can be performed by internal staff.,"GUIDANCE Independent penetration agents or teams are individuals or groups who conduct impartial penetration testing of organizational information systems. Impartiality implies that penetration agents or teams are free from any perceived or actual conflicts of interest about the development, operation, or management of the information systems that are the targets of the penetration testing. Supplemental guidance for CA-2 (1) provides additional information regarding independent assessments that can be applied to penetration testing."
CA-9,INTERNAL SYSTEM CONNECTIONS,"CA - SECURITY ASSESSMENT AND
 AUTHORIZATION","The organization: a. Authorizes connections of defined internal information system components or classes of components (defined in the applicable security plan) to the information system; and b. Documents, for each internal connection, the interface characteristics, security requirements, and the nature of the information communicated.",CA-9,CA-9-1: 1. The security plan will identify the types of personally owned equipment that may be internally connected with organizational information systems and networks: a. Compliant with organizational policies on use of personally owned equipment. b. Use of Bluetooth interconnections is disallowed without explicit approval of the Authorizing Official (AO).,"GUIDANCE This control applies to connections between organizational information systems and (separate) constituent system components (i.e., intra-system connections), including, for example, system connections with mobile devices, notebook/desktop computers, printers, copiers, facsimile machines, scanners, sensors, and servers. Include privacy requirements in the Information Connection Document (or equivalent such as an Interconnection Security Agreement or an Authority to Connect package), and specifically address the collection authority, compatibility of purpose for use, and need for recipient of information to achieve specific business purpose. Documentation must also address responsibilities of the receiving information system for protecting personally identifiable information (PII). Rather than authorizing each individual internal connection, organizations can authorize internal connections for a class of components with common characteristics and/or configurations—for example, all digital printers, scanners, and copiers with a specified processing, storage, and transmission capability or all smart phones with a specific baseline configuration."
CM-1,CONFIGURATION MANAGEMENT POLICY AND PROCEDURES,"CM - CONFIGURATION
MANAGEMENT","The organization: a. Develops, documents, and disseminates to applicable personnel: 1. A configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and 2. Procedures to facilitate the implementation of the configuration management policy and associated configuration management controls; and b. Reviews and updates (as necessary) the current: 1. Configuration management policy within every three hundred sixty-five (365) days; and 2. Configuration management procedures within every three hundred sixty-five (365) days.",CM-1,"CM-1-1: 1. Define configuration items at the system and component level (e.g., hardware, software, and workstation); | CM-1-2: 2. Monitor configurations; and | CM-1-3: 3. Track and approve changes prior to implementation, including but not limited to, flaw remediation, security patches, and emergency changes (e.g., unscheduled changes such as mitigating newly discovered security vulnerabilities, system crashes, and replacement of critical hardware components).","GUIDANCE This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the Configuration Management (CM) family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures."
CM-2,BASELINE CONFIGURATION,"CM - CONFIGURATION
MANAGEMENT","The organization develops, documents, and maintains under configuration control a current baseline configuration of the information system.",CM-2,"CM-2-1: 1. Baseline configurations will be based upon government, industry, and vendor standards and best practices. | CM-2-2: 2. Baseline configurations must include security updates. | CM-2-3: 3. Baseline configuration requirements apply to all systems, devices, appliances, and applications.","GUIDANCE This control establishes baseline configurations for information systems and system components including communications and connectivity-related aspects of systems. Baseline configurations are documented, formally reviewed, and agreed-upon sets of specifications for information systems or configuration items within those systems. Baseline configurations serve as a basis for future builds, releases, and/or changes to information systems. Baseline configurations include information about information system components (e.g., standard software packages installed on workstations, notebook computers, servers, network components, or mobile devices; current version numbers and patch information on operating systems and applications; and configuration settings/parameters); network topology; and the logical placement of those components within the system architecture. Maintaining baseline configurations requires creating new baselines as organizational information systems change over time. Baseline configurations of information systems reflect the current enterprise architecture."
CM-2(1),REVIEWS AND UPDATES,"CM - CONFIGURATION
MANAGEMENT","The organization reviews and updates the baseline configuration of the information system: a. At least every three hundred sixty-five (365) days; b. When configuration settings change due to critical security patches, upgrades and emergency changes (e.g., unscheduled changes, system crashes, and replacement of critical hardware components), and significant system changes/upgrades; c. As an integral part of: 1. Information system component installations; 2. Upgrades; and 3. Updates to applicable governing standards (implemented within the 365 days); and 4. Supporting baseline configuration documentation reflects ongoing implementation of operational baseline configuration updates, either directly or by policy.",CM-2,,GUIDANCE This control requires the organization to review and update baseline configurations defined in CM-1 and update the System Security Plan.
CM-2(2),AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,"CM - CONFIGURATION
MANAGEMENT","The organization employs automated mechanisms to maintain an up-to-date, complete, accurate, and readily available baseline configuration of the information system.",CM-2,,"GUIDANCE Automated mechanisms that help organizations maintain consistent baseline configurations for information systems include, for example, hardware and software inventory tools, configuration management tools, and network management tools. Such tools can be deployed and/or allocated as common controls, at the information system level, or at the operating system or component level (e.g., on workstations, servers, notebook computers, network components, or mobile devices). Tools can be used, for example, to track version numbers on operating system applications, types of software installed, and current patch levels. This control enhancement can be satisfied by the implementation of CM-8 (2) for organizations that choose to combine information system component inventory and baseline configuration activities."
CM-2(3),RETENTION OF PREVIOUS CONFIGURATIONS,"CM - CONFIGURATION
MANAGEMENT",The organization retains older versions of baseline configurations of the information system as deemed necessary to support rollback.,CM-2,"CM-2(3)-1: 1. Following baseline configuration updates, no less than one (1) older baseline configuration must be maintained (e.g., for emergency rollback).","GUIDANCE Retaining previous versions of baseline configurations to support rollback may include, for example, hardware, software, firmware, configuration files, and configuration records."
CM-2(7),"CONFIGURE SYSTEMS, COMPONENTS, OR DEVICES FOR HIGH RISK AREAS","CM - CONFIGURATION
MANAGEMENT","The organization: a. Issues dedicated information systems, system components, or devices with stringent configurations (e.g., FIPS 140-2 for encryption) to individuals traveling to locations that the organization deems to be of significant risk; and b. Applies security safeguards to the devices (i.e., detailed inspection of the device for physical tampering, purging or reimaging the hard disk drive/removable media) when the individuals return.",CM-2,,"GUIDANCE When it is known that information systems, system components, or devices (e.g., notebook computers, mobile devices) will be in high-risk areas, additional security controls may be implemented to counter the greater threat in such areas coupled with the lack of physical security relative to organizational-controlled areas. For example, organizational policies and procedures for notebook computers used by individuals departing on and returning from travel include determining which locations are of concern, defining required configurations for the devices, ensuring that the devices are configured as intended before travel is initiated, and applying specific safeguards to the device after travel is completed. Specially configured notebook computers include, for example, computers with sanitized hard drives, limited applications, and additional hardening (e.g., more stringent configuration settings). Specified safeguards applied to mobile devices upon return from travel include, for example, examining the device for signs of physical tampering and purging/reimaging the hard disk drive. Protecting information residing on mobile devices is covered in the Media Protection (MP) family."
CM-3,CONFIGURATION CHANGE CONTROL,"CM - CONFIGURATION
MANAGEMENT","The organization: a. Determines the types of changes to the information system that are configuration-controlled; b. Reviews proposed configuration-controlled changes to the information system and approves or disapproves such changes with explicit consideration for security impact analyses; c. Documents configuration change decisions associated with the information system; d. Implements approved configuration-controlled changes to the information system; e. Retains records of configuration-controlled changes to the information system for a minimum of three (3) years after the change; f. Audits and reviews activities associated with configuration-controlled changes to the information system; and g. Coordinates and provides oversight for configuration change control activities through change request forms which must be approved by an organizational change control board that convenes frequently enough to accommodate proposed change requests, and by other appropriate organization officials including, but not limited to, the System Developer/Maintainer and information system support staff.",CM-3,"CM-3-1: 1. The system owner coordinates and provides oversight for configuration change control activities through organization-defined configuration change control element (e.g., committee or board) that convenes according to organization-defined frequency and according to organization-defined configuration change conditions. | CM-3-2: 2. The system owner defines the configuration change control element and the frequency or conditions under which it is convened. | CM-3-3: 3. The organization establishes a central means of communicating significant changes to or developments in the information system or environment of operations that may affect its business agreements/contracts with CMS and business partners, and services to the business owner and associated service consumers (e.g., electronic bulletin board, or web status page). The means of communication are approved and accepted by the system owner. The means of communication with CMS about significant changes must follow the Change Reporting Procedures for State-Based Administering Entities Systems Final established by CMS, which can be found at: https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates","GUIDANCE Configuration change controls for organizational information systems involve the systematic proposal, justification, implementation, testing, review, and disposition of changes to the systems, including system upgrades and modifications. Configuration change control includes changes to baseline configurations for components and configuration items of information systems, changes to configuration settings for information technology products (e.g., operating systems, applications, firewalls, routers, and mobile devices), unscheduled/unauthorized changes, and changes to remediate vulnerabilities. Typical processes for managing configuration changes to information systems include, for example, configuration control boards that approve proposed changes to systems. For new development information systems or systems undergoing major upgrades, organizations consider including representatives from development organizations on the configuration control boards. Auditing of changes includes activities before and after changes are made to organizational information systems and the auditing activities required to implement such changes. “Significant change” is defined in NIST Special Publication 800-37 Rev. 1, Guide for Applying the Risk Management Framework to Federal Information Systems. CMS provides submission requirements and due dates for the Change Report (Change Notification Form) in the MARS-E Security and Privacy Agreements and Compliance Artifacts briefing and supporting table located at https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates ."
CM-3(2),TEST / VALIDATE / DOCUMENT CHANGES,"CM - CONFIGURATION
MANAGEMENT","The organization tests, validates, and documents changes to the information system before implementing the changes on the operational system.",CM-3,,"GUIDANCE Changes to information systems include modifications to hardware, software, or firmware components and configuration settings defined in CM-6. Organizations ensure that testing does not interfere with information system operations. Individuals/groups conducting tests understand organizational security policies and procedures, information system security policies and procedures, and the specific health, safety, and environmental risks associated with particular facilities/processes. Operational systems may need to be taken offline, or replicated to the extent feasible, before testing can be conducted. If information systems must be taken offline for testing, the tests are scheduled to occur during planned system outages whenever possible. If testing cannot be conducted on operational systems, organizations employ compensating controls (e.g., testing on replicated systems). To better secure IT infrastructure, configuration management procedure should include use of a security configuration checklist (sometimes called a lockdown, hardening guide, or benchmark) to help configure systems to an operating environment. Security authorization (authorization to operate given identified risk and security controls) is maintained when proposed or actual changes to the information system, and their suspected impact on the security of the system, are documented and continuously monitored for compliance. Configuration Management process includes the following steps: 1. Identify change; 2. Evaluate change request; 3. Approve, deny, or defer implementation of the change; 4. Implement the approved change; and 5. Continuously monitor change for acceptable operation."
CM-4,SECURITY IMPACT ANALYSIS,"CM - CONFIGURATION
MANAGEMENT",The organization analyzes changes to the information system to determine potential security and privacy impacts prior to change implementation. Activities associated with configuration changes to the information system are audited.,CM-4,CM-4-1: A security Impact Analysis report is required as part of change reporting to CMS. The Change Reporting Procedures for State-Based Administering Entity Systems established by CMS can be found at: https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates.,"GUIDANCE Organizational personnel with information security responsibilities (e.g., Information System Administrators, Information System Security Officers, Information System Security Managers, and Information System Security Engineers) conduct security impact analyses. Individuals conducting security impact analyses possess the necessary skills/technical expertise to analyze the changes to information systems and the associated security ramifications. When analyzing changes to the information system, the impacts to privacy are also considered. If necessary, conduct a privacy impact assessment. Security impact analysis may include, for example, reviewing security plans to understand security control requirements and reviewing system design documentation to understand control implementation and how specific changes might affect the controls. Security impact analyses may also include assessments of risk to better understand the impact of the changes and to determine if additional security controls are required. Security impact analyses are scaled in accordance with the security categories of the information systems. When analyzing changes to the information system, the impacts to privacy are also considered. If necessary, conduct a privacy impact assessment. CMS provides submission requirements and due dates for the Security Impact Analysis Report in the MARS-E Security and Privacy Agreements and Compliance Artifacts briefing and supporting table located at: https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates."
CM-4(1),SEPARATE TEST ENVIRONMENTS,"CM - CONFIGURATION
MANAGEMENT","The organization analyzes changes to the information system in a separate test environment before implementation in an operational environment, looking for security impacts due to flaws, weaknesses, incompatibility, or intentional malice.",CM-4,"CM-4(1)-1: If Personally Identifiable Information (PII) is used in the test environment, then the same controls required for systems containing PII must be applied to the test environment. Simulated PII information should be used to the maximum extent practicable when testing system functionality.","GUIDANCE Separate test environment in this context means an environment that is physically or logically isolated and distinct from the operational environment. The separation is sufficient to ensure that activities in the test environment do not impact activities in the operational environment, and information in the operational environment is not inadvertently transmitted to the test environment. Separate environments can be achieved by physical or logical means. If physically separate test environments are not used, organizations determine the strength of mechanism required when implementing logical separation (e.g., separation achieved through virtual machines)."
CM-4(2),VERIFICATION OF SECURITY FUNCTIONS,"CM - CONFIGURATION
MANAGEMENT",The organization must ensure changes in information system security functions are verified: a. To be implemented per approved design; b. To integrate and operate as intended; and c. To produce expected results.,CM-4,"CM-4(2)-1: 1. Any system, including development and test, that contains and/or processes sensitive information (e.g., PII) must verify security functions as per this control. | CM-4(2)-2: 2. The system’s security functions must be continuously monitored and evaluated to ensure they are operating as intended and changes do not have an adverse effect on system performance. | CM-4(2)-3: 3. Actions must be taken to verify that the provisioned security function implementation being assessed and/or monitored meets security function requirements and is an approved system configuration.","GUIDANCE Implementation in this context refers to installing changed code in the operational information system. If a system change is made, verification of Privacy Overlay security control functions is required to ensure continued compliance with privacy-related statutes and regulations. In general, the goal is to verify that system changes do not adversely impact security functions and the system’s ability to meet mission requirements."
CM-5,ACCESS RESTRICTIONS FOR CHANGE,"CM - CONFIGURATION
MANAGEMENT","The organization defines, documents, approves, and enforces physical and logical access restrictions associated with changes to the information system. Records reflecting all such changes shall be generated, reviewed, and retained.",CM-5,,"GUIDANCE Any changes to the hardware, software, and/or firmware components of information systems can potentially have significant effects on the overall security of the systems. Therefore, organizations permit only qualified and authorized individuals to access information systems for purposes of initiating changes, including upgrades and modifications. Organizations maintain records of access to ensure that configuration change control is implemented and to support after-the-fact actions should organizations discover any unauthorized changes. Access restrictions for change also include software libraries. Access restrictions include, for example, physical and logical access controls (see AC-3 and PE-3), workflow automation, media libraries, abstract layers (e.g., changes implemented into third-party interfaces rather than directly into information systems), and change windows (e.g., changes occur only during specified times, making unauthorized changes easy to discover)."
CM-5(1),AUTOMATED ACCESS ENFORCEMENT / AUDITING,"CM - CONFIGURATION
MANAGEMENT",The information system enforces access restrictions and supports auditing of the enforcement actions.,CM-5,,GUIDANCE Organizations log access records associated with applying configuration changes to ensure that configuration change control is implemented and to support after-the-fact actions should organizations discover any unauthorized changes.
CM-5(3),"SIGNED COMPONENTS
FOR CLOUD ENVIRONMENT ONLY","CM - CONFIGURATION
MANAGEMENT",The information system prevents the installation of network and server software and firmware components without verification that the component has been digitally signed using a certificate that is recognized and approved by the organization.,CM-5,,"GUIDANCE Software and firmware components prevented from installation unless signed with recognized and approved certificates include, for example, software and firmware version updates, patches, service packs, device drivers, and basic input output system (BIOS) updates. Organizations can identify applicable software and firmware components by type, by specific items, or a combination of both. The use of digital signatures, in conjunction with organizational verification of such signatures, is a method of code authentication. If digital signatures/certificates are unavailable, alternative cryptographic integrity checks (hashes, self-signed certs, etc.) can be used."
CM-5(5),LIMIT PRODUCTION / OPERATIONAL PRIVILEGES,"CM - CONFIGURATION
MANAGEMENT",The organization: a. Limits privileges to change information system components and system-related information within a production or operational environment; and b. Reviews and reevaluates privileges at least quarterly.,CM-5,,"GUIDANCE In many organizations, information systems support multiple core missions/business functions. Limiting privileges to change information system components with respect to operational systems is necessary because changes to a particular information system component may have far-reaching effects on mission/business processes supported by the system where the component resides. The complex, many-to-many relationships between systems and mission/business processes are in some cases unknown to developers."
CM-6,CONFIGURATION SETTINGS,"CM - CONFIGURATION
MANAGEMENT","The organization: a. Establishes and documents mandatory configuration settings for information technology products employed within the information system using the latest security configuration guidelines listed in Implementation Standards that reflect the most restrictive mode consistent with operational requirements; b. Implements the configuration settings; c. Identifies, documents, and approves any deviations from established configuration settings for individual components within the information system based on explicit operational requirements; and d. Monitors and controls changes to the configuration settings in accordance with organizational policies and procedures.",CM-6,"CM-6-1: 1. Security configuration guidelines may be developed by different federal agencies. Therefore, it is possible that a guideline could include configuration information that conflicts with another agency or the organization’s guideline. To resolve configuration conflicts among multiple security guidelines, the organization’s hierarchy for implementing all security configuration guidelines is as follows: a. National Institute of Standards and Technology (NIST) b. Defense Information Systems Agency (DISA) Security Technical Implementation Guides (STIG) | CM-6-2: 2. If formal government-authored checklists do not exist, then organizations are encouraged to use vendor or industry group, such as The Center for Internet Security (CIS) checklists. | CM-6-3: 3. The organization ensures that checklists for configuration settings are Security Content Automation Protocol (SCAP) validated or SCAP compatible (if validated checklists are not available).","GUIDANCE Configuration settings are the sets of parameters that can be changed in hardware, software, or firmware components of the information system that affect the security posture and/or functionality of the system. Information technology products for which security-related configuration settings can be defined include, for example, mainframe computers, servers (e.g., database, electronic mail, authentication, web, proxy, file, and domain name); workstations; input/output devices (e.g., scanners, copiers, and printers); network components (e.g., firewalls, routers, gateways, voice and data switches, wireless access points, network appliances, and sensors); operating systems; middleware; and applications. Security-related parameters are those parameters impacting the security state of information systems, including the parameters required to satisfy other security control requirements. Security-related parameters include, for example, (i) registry settings; (ii) account, file, directory permission settings; and (iii) settings for functions, ports, protocols, services, and remote connections. Organizations establish organization-wide configuration settings and subsequently derive specific settings for information systems. The established settings become part of the systems configuration baseline. Common secure configurations (also referred to as security configuration checklists, lockdown and hardening guides, security reference guides, and security technical implementation guides) provide recognized, standardized, and established benchmarks that stipulate secure configuration settings for specific information technology platforms/products and instructions for configuring those information system components to meet operational requirements. Common secure configurations can be developed by a variety of organizations including, for example, information technology product developers, manufacturers, vendors, consortia, academia, industry, federal agencies, and other organizations in the public and private sectors. Common secure configurations include the United States Government Configuration Baseline (USGCB), which affects the implementation of CM-6 and other controls such as AC-19 and CM-7. The Security Content Automation Protocol (SCAP) and the defined standards within the protocol (e.g., Common Configuration Enumeration) provide an effective method to uniquely identify, track, and control configuration settings. OMB establishes federal policy on configuration requirements for federal information systems. Information on the USGCB checklists can be found at: https://csrc.nist.gov/projects/united-states-government-configuration-baseline The detailed configuration settings are to be submitted as an attachment to the SSP. CMS provides submission requirements and due dates for SSP attachments in the MARS-E Security and Privacy Agreements and Compliance Artifacts briefing and supporting table located at: https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates."
CM-6(1),AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,"CM - CONFIGURATION
MANAGEMENT","The organization employs automated mechanisms to centrally manage, apply, and verify configuration settings for information technology products.",CM-6,,GUIDANCE
CM-7,LEAST FUNCTIONALITY,"CM - CONFIGURATION
MANAGEMENT","The organization: a. Configures the information system to provide only essential capabilities; and b. Prohibits or restricts the use of high-risk system services, ports, network protocols, and capabilities (e.g., Telnet FTP, etc.) across network boundaries that are not explicitly required for system or application functionality. c. A list of specifically needed system services, ports, and network protocols will be maintained and documented in the applicable security plan; all others will be disabled.",CM-7,"CM-7-1: 1. The organization configures the information system to provide only essential capabilities and specifically prohibits or restricts the use of the following functions, ports, protocols, and/or services: United States Government Configuration Baseline (USGCB)-defined list of prohibited or restricted functions, ports, protocols, and/or services. | CM-7-2: 2. The organization shall use the Center for Internet Security guidelines (Level 1) to establish list of prohibited or restricted functions, ports, protocols, and/or services or establishes its own list of prohibited or restricted functions, ports, protocols, and/or services if USGCB is not available. | CM-7-3: 3. Configuration review information sources include systems, appliances, devices, services, and applications (including databases).","GUIDANCE Information systems can provide a wide variety of functions and services. Some of the functions and services, provided by default, may not be necessary to support essential organizational operations (e.g., key missions, functions). It is sometimes convenient to provide multiple services from single information system components, but doing so increases risk over limiting the services provided by any one component. Where feasible, organizations limit component functionality to a single function per device (e.g., email servers or web servers, but not both). Organizations review functions and services provided by information systems or individual components of information systems to determine which functions and services are candidates for elimination (e.g., Voice Over Internet Protocol, Instant Messaging, auto-execute, and file sharing). Organizations consider disabling unused or unnecessary physical and logical ports/protocols (e.g., Universal Serial Bus, File Transfer Protocol, and Hypertext Transfer Protocol) on information systems to prevent unauthorized connection of devices, unauthorized transfer of information, or unauthorized tunneling. Organizations can use network scanning tools, intrusion detection and prevention systems, and end-point protections such as firewalls and host-based intrusion detection systems to identify and prevent the use of prohibited functions, ports, protocols, and services. Information on the USGCB checklists can be found at: http://usgcb.nist.gov/usgcb_faq.html#usgcbfaq_usgcbfdcc ."
CM-7(1),PERIODIC REVIEW,"CM - CONFIGURATION
MANAGEMENT","The organization: a. Reviews the information system no less often than once every thirty (30) days to identify and eliminate unnecessary functions, ports, protocols, and/or services; b. Disables functions, ports, protocols, and services within the information system deemed to be unnecessary and/or non-secure; and c. Configuration review information sources include systems, appliances, devices, services, and applications (including databases).",CM-7,"CM-7(1)-1: 1. Recommend the organization perform automated reviews of the information system no less often than once every seventy-two (72) hours to identify changes in functions, ports, protocols, and/or services.","GUIDANCE The organization can either make a determination of the relative security of the function, port, protocol, and/or service or base the security decision on the assessment of other entities. Bluetooth, FTP, and peer-to-peer networking are examples of less than secure protocols."
CM-7(2),PREVENT PROGRAM EXECUTION,"CM - CONFIGURATION
MANAGEMENT","The information system prevents program execution in accordance with policies regarding authorized software use, which include, but are not limited to, the following: a. Software must be legally licensed; b. Software must be provisioned in approved configurations; and c. Users must be authorized for software use.",CM-7,,"GUIDANCE This control enhancement addresses organizational policies restricting software usage as well as the terms and conditions imposed by the developer or manufacturer including, for example, software licensing and copyrights. Restrictions include, for example, restricting the roles allowed to approve program execution, prohibiting auto-execute, program blacklisting and whitelisting, or restricting the number of program instances executed at the same time."
CM-7(5),AUTHORIZED SOFTWARE / WHITELISTING,"CM - CONFIGURATION
MANAGEMENT","The organization: a. Identifies defined software programs (defined in the applicable security plan) authorized to execute on the information system; b. Employs a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the information system; c. Receives automated updates from a trusted source; and d. Authorizes software whitelisting (and blacklisting) information sources include systems, appliances, devices, services, and applications (including databases).",CM-7,CM-7(5)-1: 1. Recommend the organization review and updates the list of authorized software programs no less often than every seventy-two (72) hours.,"GUIDANCE The process used to identify software programs that are authorized to execute on organizational information systems is commonly referred to as whitelisting. In addition to whitelisting, organizations consider verifying the integrity of white-listed software programs using, for example, cryptographic checksums, digital signatures, or hash functions. Verification of white-listed software can occur wither prior to execution or at system startup."
CM-8,INFORMATION SYSTEM COMPONENT INVENTORY,"CM - CONFIGURATION
MANAGEMENT","The organization: a. Develops and documents an inventory of information system components that: 1. Accurately reflects the current information system; 2. Includes all components within the authorization boundary of the information system; 3. Is at the level of granularity deemed necessary for tracking and reporting; and 4. Includes organization-defined information deemed necessary to achieve effective property accountability, which may include hardware inventory specifications (e.g., manufacturer, type, model, serial number, and physical location); software license/version information; information system/component owner and type of information system component (e.g., server, desktop, application) and for a networked component/device, the machine name and network address; and the presence of virtual machines. b. Reviews and updates the information system component inventory at least monthly or when there is a change, or per CM 8 (1), as applicable.",CM-8,"CM-8-1: 1. The organization defines information deemed necessary to achieve effective property accountability. | CM-8-2: 2. The organization establishes, maintains, and updates, within every three hundred sixty-five (365) days, an inventory that contains a listing of all programs and information systems identified as collecting, using, maintaining, or sharing PII. | CM-8-3: 3. The organization fully Integrate inventory of information system components with the organizational continuous monitoring capability (CM-7). | CM-8-4: 4. For cloud environment the organization reviews and updates the information system component inventory at least monthly or when there is a change, or per CM 8 (1), as applicable; this practice is also recommended for non-cloud environment.","GUIDANCE Organizations may choose to implement centralized information system component inventories that include components from all organizational information systems. In such situations, organizations ensure that the resulting inventories include system-specific information required for proper component accountability (e.g., information system association and information system owner). Information deemed necessary for effective accountability of information system components includes, for example, hardware inventory specifications; software license information; software version numbers; component owners; and for networked components or devices, machine names and network addresses. Inventory specifications include, for example, manufacturer, device type, model, serial number, and physical location. The Information System Component Inventory (hardware and software requirements) are required to be submitted as an attachment to the SSP. CMS provides submission requirements and due dates for SSP attachments in the MARS-E Security and Privacy Agreements and Compliance Artifacts briefing and supporting table located at: https://zone.cms.gov/community/cms-aca-program-security-privacy-policy-guidance-templates."
