FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,PCI DSS 4 Requirement Title,Target ID #,PCI DSS 4 Requirement Description,Notes
164.308(a)(8),ADMINISTRATIVE SAFEGUARDS,"Description Periodic security evaluation Regulation Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that established the extent to which an entity's security policies and procedures meet the requirements of this subpart.",medium,functional,"HIPAA 164.308(a)(8) requires Description Periodic security evaluation Regulation Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and subsequently, in response to environmental . PCI DSS 4 12.8.3 requires Defined Approach Requirements: An established process is implemented for engaging TPSPs, including proper due diligence prior to engagement.. Both address incident response and contingency. Both address incident response and contingency. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.8.3,"Defined Approach Requirements: An established process is implemented for engaging TPSPs, including proper due diligence prior to engagement. [CUSTOMIZED APPROACH OBJECTIVE]: The capability, intent, and resources of a prospective TPSP to adequately protect account data are assessed before the TPSP is engaged. [Purpose]: A thorough process for engaging TPSPs, including details for selection and vetting prior to engagement, helps ensure that a TPSP is thoroughly vetted internally by an entity prior to establishing a formal relationship and that the risk to cardholder data associated with the engagement of the TPSP is understood. [Good Practice]: Specific due-diligence processes and goals will vary for each organization. Elements that should be considered include the provider’s reporting practices, breach-notification and incident response procedures, details of how PCI DSS responsibilities are assigned between each party, how the TPSP validates their PCI DSS compliance and what evidence they provide.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.205). Review for expert calibration.
164.308(b)(1),Business Associate Contracts and Other Arrangements,"Description CE implement BACs to ensure safeguards Regulation A covered entity, in accordance with § 164.306, may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a) that the business associate will appropriately safeguard the information. (2) This standard does not apply with respect to - (i) The transmission by a covered entity of electronic protected health information to a health care provider concerning the treatment of an individual. (ii) The transmission of electronic protected health information by a group health plan or an HMO or health insurance issuer on behalf of a group health plan to a plan sponsor, to the extent that the requirements of § 164.314(b) and § 164.504(f) apply and are met; or (iii) The transmission of electronic protected health information from or to other agencies providing the services at § 164.502(e)(1)(ii)(C), when the covered entity is a health plan that is a government program providing public benefits, if the requirements of § 164.502(e)(1)(ii)(C) are met. (3) A covered entity that violates the satisfactory assurances it provided as a business associate of another covered entity will be in noncompliance with the standards, implementation specifications, and requirements of this paragraph and § 164.314(a).",medium,functional,"HIPAA 164.308(b)(1) requires Description CE implement BACs to ensure safeguards Regulation A covered entity, in accordance with § 164.. PCI DSS 4 3.7.9 requires Defined Approach Requirements: Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure tran. Both address encryption and transmission security. Both address encryption and transmission security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Protect Stored Account Data,3.7.9,"Defined Approach Requirements: Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and updating of such keys is documented and distributed to the service provider’s customers [CUSTOMIZED APPROACH OBJECTIVE]: Customers are provided with appropriate key management guidance whenever they receive shared cryptographic keys. [APPLICABILITY NOTES]: This requirement applies only when the entity being assessed is a service provider. [Purpose]: Providing guidance to customers on how to securely transmit, store, and update cryptographic keys can help prevent keys from being mismanaged or disclosed to unauthorized entities. [Further Information]: Numerous industry standards for key management are cited above in the Guidance for Requirements 3.7.1-3.7.8.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.205). Review for expert calibration.
164.308(b)(4),Written Contract,Description Implement compliant BACs Regulation Document the satisfactory assurances required by paragraph (b)(1) of this section through a written contract or other arrangement with the business associate that meets the applicable requirements of § 164.314(a).,medium,functional,HIPAA 164.308(b)(4) requires Description Implement compliant BACs Regulation Document the satisfactory assurances required by paragraph (b)(1) of this section through a written contract or other arrangement with the business associate that meets the. PCI DSS 4 7.2.3 requires Defined Approach Requirements: Required privileges are approved by authorized personnel.. Both address security objectives and safeguard effectiveness.,not_related,1,Restrict Access to System Components and Cardholder Data by Business Need to Know,7.2.3,"Defined Approach Requirements: Required privileges are approved by authorized personnel. [CUSTOMIZED APPROACH OBJECTIVE]: Access privileges cannot be granted to users without appropriate, documented authorization. [Purpose]: Documented approval (for example, in writing or electronically) assures that those with access and privileges are known and authorized by management, and that their access is necessary for their job function.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.051). Review for expert calibration.
164.310 (a)(1),Facility Access Controls,"Description P&P to limit access to systems and facilities Regulation Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",medium,functional,"HIPAA 164.310 (a)(1) requires Description P&P to limit access to systems and facilities Regulation Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are house. PCI DSS 4 9.3.2 requires Defined Approach Requirements: Procedures are implemented for authorizing and managing visitor access to the CDE, including: Visitors are authorized before entering.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.3.2,"Defined Approach Requirements: Procedures are implemented for authorizing and managing visitor access to the CDE, including: Visitors are authorized before entering. Visitors are escorted at all times. Visitors are clearly identified and given a badge or other identification that expires. Visitor badges or other identification visibly distinguishes visitors from personnel. [CUSTOMIZED APPROACH OBJECTIVE]: Requirements for visitor access to the CDE are defined and enforced. Visitors cannot exceed any authorized physical access allowed while in the CDE. [Purpose]: Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities and potentially to cardholder data. Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.219). Review for expert calibration.
164.310(a)(2)(i),Contingency Operations,Description Procedures to support emergency operations and recovery Regulation Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.,medium,functional,HIPAA 164.310(a)(2)(i) requires Description Procedures to support emergency operations and recovery Regulation Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery . PCI DSS 4 9.4.1.1 requires Defined Approach Requirements: Offline media backups with cardholder data are stored in a secure location.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.1.1,"Defined Approach Requirements: Offline media backups with cardholder data are stored in a secure location. [CUSTOMIZED APPROACH OBJECTIVE]: Offline backups cannot be accessed by unauthorized personnel. [Purpose]: If stored in a non-secured facility, backups containing cardholder data may easily be lost, stolen, or copied for malicious intent. [Good Practice]: For secure storage of backup media, a good practice is to store media in an off-site facility, such as an alternate or backup site or commercial storage facility.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.203). Review for expert calibration.
164.310(a)(2)(ii),Facility Security Plan,"Description P&P to safeguard equipment and facilities Regulation Implement policies and procedures to safeguard the facility and the equipment there in from unauthorized physical access, tampering, and theft.",medium,functional,"HIPAA 164.310(a)(2)(ii) requires Description P&P to safeguard equipment and facilities Regulation Implement policies and procedures to safeguard the facility and the equipment there in from unauthorized physical access, tampering, and theft.. PCI DSS 4 9.2.3 requires Defined Approach Requirements: Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.2.3,"Defined Approach Requirements: Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted. [CUSTOMIZED APPROACH OBJECTIVE]: Physical networking equipment cannot be accessed by unauthorized personnel. [Purpose]: Without appropriate physical security over access to wireless components and devices, and computer networking and telecommunications equipment and lines, malicious users could gain access to the entity’s network resources. Additionally, they could connect their own devices to the network to gain unauthorized access to the CDE or systems connected to the CDE. Additionally, securing networking and communications hardware prevents malicious users from intercepting network traffic or physically connecting their own devices to wired network resources.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.210). Review for expert calibration.
164.310(a)(2)(iii),Access Control Validation Procedures,"Description Facility access procedures for personnel Regulation Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.",medium,functional,"HIPAA 164.310(a)(2)(iii) requires Description Facility access procedures for personnel Regulation Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of acce. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.208). Review for expert calibration.
164.310(a)(2)(iv),Maintenance Records,"Description P&P to document security-related repairs and modifications Regulation Implement policies and procedures to document repairs and modifications to the physical components of a facility that are related to security (for example, hardware, walls, doors, and locks).",medium,functional,"HIPAA 164.310(a)(2)(iv) requires Description P&P to document security-related repairs and modifications Regulation Implement policies and procedures to document repairs and modifications to the physical components of a facility that are related to secur. PCI DSS 4 9.2.3 requires Defined Approach Requirements: Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted.. Both address physical and environmental security. Both address physical and environmental security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.2.3,"Defined Approach Requirements: Physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted. [CUSTOMIZED APPROACH OBJECTIVE]: Physical networking equipment cannot be accessed by unauthorized personnel. [Purpose]: Without appropriate physical security over access to wireless components and devices, and computer networking and telecommunications equipment and lines, malicious users could gain access to the entity’s network resources. Additionally, they could connect their own devices to the network to gain unauthorized access to the CDE or systems connected to the CDE. Additionally, securing networking and communications hardware prevents malicious users from intercepting network traffic or physically connecting their own devices to wired network resources.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.190). Review for expert calibration.
164.310(b),Workstation Use,"Description P&P to specify workstation environment & use Regulation Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",medium,functional,"HIPAA 164.310(b) requires Description P&P to specify workstation environment & use Regulation Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the ph. PCI DSS 4 3.7.3 requires Defined Approach Requirements: Key-management policies and procedures are implemented to include secure storage of cryptographic keys used to protect stored account data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Protect Stored Account Data,3.7.3,"Defined Approach Requirements: Key-management policies and procedures are implemented to include secure storage of cryptographic keys used to protect stored account data. [CUSTOMIZED APPROACH OBJECTIVE]: Cryptographic keys are secured when stored. [Purpose]: Storing keys without proper protection could provide access to attackers, resulting in the decryption and exposure of account data. [Good Practice]: Data encryption keys can be protected by encrypting them with a key-encrypting key. Keys can be stored in a Hardware Security Module (HSM). Secret or private keys that can decrypt data should never be present in source code.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.208). Review for expert calibration.
164.310(c),Workstation Security,"Description Physical safeguards for workstation access Regulation Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",medium,functional,"HIPAA 164.310(c) requires Description Physical safeguards for workstation access Regulation Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.. PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.213). Review for expert calibration.
164.310(d)(1),Device and Media Controls,"Description P&P to govern receipt and removal of hardware and media Regulation Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",medium,functional,HIPAA 164.310(d)(1) requires Description P&P to govern receipt and removal of hardware and media Regulation Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected heal. PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address physical and environmental security. Both address physical and environmental security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.198). Review for expert calibration.
164.310(d)(2)(i),PHYSICAL SAFEGUARDS,"Description P&P to manage media and equipment disposal Regulation Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on which it is stored.",medium,functional,"HIPAA 164.310(d)(2)(i) requires Description P&P to manage media and equipment disposal Regulation Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on . PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address physical and environmental security. Both address physical and environmental security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.205). Review for expert calibration.
164.310(d)(2)(ii),Media Re-use,Description P&P to remove PHI from media and equipment Regulation Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.,medium,functional,HIPAA 164.310(d)(2)(ii) requires Description P&P to remove PHI from media and equipment Regulation Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.. PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address physical and environmental security. Both address physical and environmental security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.185). Review for expert calibration.
164.310(d)(2)(iii),PHYSICAL SAFEGUARDS,Description Document hardware and media movement Regulation Maintain a record of the movements of hardware and electronic media and any person responsible therefore.,medium,functional,HIPAA 164.310(d)(2)(iii) requires Description Document hardware and media movement Regulation Maintain a record of the movements of hardware and electronic media and any person responsible therefore.. PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address physical and environmental security. Both address physical and environmental security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.191). Review for expert calibration.
164.310(d)(2)(iv),Data Backup and Storage,"Description Backup PHI before moving equipment Regulation Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.",medium,functional,"HIPAA 164.310(d)(2)(iv) requires Description Backup PHI before moving equipment Regulation Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.. PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address physical and environmental security. Both address physical and environmental security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.203). Review for expert calibration.
164.312(a)(1),Access Control,Description Technical (administrative) P&P to manage PHI access Regulation Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,medium,functional,HIPAA 164.312(a)(1) requires Description Technical (administrative) P&P to manage PHI access Regulation Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow acc. PCI DSS 4 7.3.3 requires Defined Approach Requirements: The access control system(s) is set to “deny all” by default.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Restrict Access to System Components and Cardholder Data by Business Need to Know,7.3.3,"Defined Approach Requirements: The access control system(s) is set to “deny all” by default. [CUSTOMIZED APPROACH OBJECTIVE]: Access rights and privileges are prohibited unless expressly permitted. [Purpose]: A default setting of “deny all” ensures no one is granted access unless a rule is established specifically granting such access. [Good Practice]: It is important to check the default configuration of access control systems because some are set by default to “allow all,” thereby permitting access unless/until a rule is written to specifically deny it.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.210). Review for expert calibration.
164.312(a)(2)(i),Unique User Identification,Description Assign unique IDs to support tracking Regulation Assign a unique name and/or number for identifying and tracking user identity.,medium,functional,"HIPAA 164.312(a)(2)(i) requires Description Assign unique IDs to support tracking Regulation Assign a unique name and/or number for identifying and tracking user identity.. PCI DSS 4 9.5.1.1 requires Defined Approach Requirements: An up-to-date list of POI devices is maintained, including: Make and model of the device.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Restrict Physical Access to Cardholder Data,9.5.1.1,"Defined Approach Requirements: An up-to-date list of POI devices is maintained, including: Make and model of the device. Location of device. Device serial number or other methods of unique identification. [CUSTOMIZED APPROACH OBJECTIVE]: The identity and location of POI devices is recorded and known at all times. [Purpose]: Keeping an up-to-date list of POI devices helps an organization track where devices are supposed to be and quickly identify if a device is missing or lost. [Good Practice]: The method for maintaining a list of devices may be automated (for example, a devicemanagement system) or manual (for example, documented in electronic or paper records). For on-the-road devices, the location may include the name of the personnel to whom the device is assigned. [Examples]: Methods to maintain device locations include identifying the address of the site or facility where the device is located.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.200). Review for expert calibration.
164.312(a)(2)(ii),Emergency Access Procedure,Description Procedures to support emergency access Regulation Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,medium,functional,"HIPAA 164.312(a)(2)(ii) requires Description Procedures to support emergency access Regulation Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.. PCI DSS 4 12.6.1 requires Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data.. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.6.1,"Defined Approach Requirements: A formal security awareness program is implemented to make all personnel aware of the entity’s information security policy and procedures, and their role in protecting the cardholder data. [CUSTOMIZED APPROACH OBJECTIVE]: Personnel are knowledgeable about the threat landscape, their responsibility for the operation of relevant security controls, and are able to access assistance and guidance when required. [Purpose]: If personnel are not educated about their company’s information security policies and procedures and their own security responsibilities, security safeguards and processes that have been implemented may become ineffective through unintentional errors or intentional actions.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.196). Review for expert calibration.
164.312(a)(2)(iii),Automatic Logoff,Description Session termination mechanisms Regulation Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,medium,functional,HIPAA 164.312(a)(2)(iii) requires Description Session termination mechanisms Regulation Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.. PCI DSS 4 9.4.5 requires Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained.. Both address security objectives and safeguard effectiveness.,not_related,1,Restrict Physical Access to Cardholder Data,9.4.5,"Defined Approach Requirements: Inventory logs of all electronic media with cardholder data are maintained. [CUSTOMIZED APPROACH OBJECTIVE]: Accurate inventories of stored electronic media are maintained. [Purpose]: Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.043). Review for expert calibration.
164.312(a)(2)(iv),Encryption and Decryption,Description Mechanism for encryption of stored PHI Regulation Implement a mechanism to encrypt and decrypt electronic protected health information.,medium,functional,HIPAA 164.312(a)(2)(iv) requires Description Mechanism for encryption of stored PHI Regulation Implement a mechanism to encrypt and decrypt electronic protected health information.. PCI DSS 4 3.7.3 requires Defined Approach Requirements: Key-management policies and procedures are implemented to include secure storage of cryptographic keys used to protect stored account data.. Both address encryption and transmission security. Both address encryption and transmission security. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Protect Stored Account Data,3.7.3,"Defined Approach Requirements: Key-management policies and procedures are implemented to include secure storage of cryptographic keys used to protect stored account data. [CUSTOMIZED APPROACH OBJECTIVE]: Cryptographic keys are secured when stored. [Purpose]: Storing keys without proper protection could provide access to attackers, resulting in the decryption and exposure of account data. [Good Practice]: Data encryption keys can be protected by encrypting them with a key-encrypting key. Keys can be stored in a Hardware Security Module (HSM). Secret or private keys that can decrypt data should never be present in source code.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.203). Review for expert calibration.
164.312(b),Audit Controls,"Description Procedures and mechanisms for monitoring system activity Regulation Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",medium,functional,"HIPAA 164.312(b) requires Description Procedures and mechanisms for monitoring system activity Regulation Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use elect. PCI DSS 4 10.3.4 requires Defined Approach Requirements: File integrity monitoring or change-detection mechanisms is used on audit logs to ensure that existing log data cannot be changed without generating alerts.. Both address audit logging and monitoring. Both address audit logging and monitoring. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Log and Monitor All Access to System Components and Cardholder Data,10.3.4,"Defined Approach Requirements: File integrity monitoring or change-detection mechanisms is used on audit logs to ensure that existing log data cannot be changed without generating alerts. [CUSTOMIZED APPROACH OBJECTIVE]: Stored activity records cannot be modified without an alert being generated. [Purpose]: File integrity monitoring or change-detection systems check for changes to critical files and notify when such changes are identified. For file integrity monitoring purposes, an entity usually monitors files that do not regularly change, but when changed, indicate a possible compromise. [Good Practice]: Software used to monitor changes to audit logs should be configured to provide alerts when existing log data or files are changed or deleted. However, new log data being added to an audit log should not generate an alert.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.213). Review for expert calibration.
164.312(c)(1),TECHNICAL SAFEGUARDS,Description P&P to safeguard PHI unauthorized alteration Regulation Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.,medium,functional,HIPAA 164.312(c)(1) requires Description P&P to safeguard PHI unauthorized alteration Regulation Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.. PCI DSS 4 3.7.1 requires Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.. Both address data protection and disposal. Both address data protection and disposal. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.,intersects_with,3,Protect Stored Account Data,3.7.1,"Defined Approach Requirements: Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data. [CUSTOMIZED APPROACH OBJECTIVE]: Strong cryptographic keys are generated. [Purpose]: Use of strong cryptographic keys significantly increases the level of security of encrypted account data. [Further Information]: See the sources referenced at ""Cryptographic Key Generation in Appendix G.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.207). Review for expert calibration.
164.312(c)(2),Mechanism to Authenticate Electronic Protected Health Information,Description Mechanisms to corroborate PHI not altered Regulation Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.,medium,functional,"HIPAA 164.312(c)(2) requires Description Mechanisms to corroborate PHI not altered Regulation Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.. PCI DSS 4 12.10.5 requires Defined Approach Requirements: The security incident response plan includes monitoring and responding to alerts from security monitoring systems, including but not limited to: Intrusion-detection and intrusion-prevention. Both address access control. Both address access control. HIPAA additionally covers healthcare regulatory context; PCI DSS 4 additionally covers cardholder-data and payment-system control specifics.",intersects_with,3,Support Information Security with Organizational Policies and Programs,12.10.5,"Defined Approach Requirements: The security incident response plan includes monitoring and responding to alerts from security monitoring systems, including but not limited to: Intrusion-detection and intrusion-prevention systems. Network security controls. Change-detection mechanisms for critical files. The change-and tamper-detection mechanism for payment pages. This bullet is a best practice until its effective date; refer to Applicability Notes below for details. Detection of unauthorized wireless access points. [CUSTOMIZED APPROACH OBJECTIVE]: Alerts generated by monitoring and detection technologies are responded to in a structured, repeatable manner. [APPLICABILITY NOTES]: The bullet above (for monitoring and responding to alerts from a change- and tamper-detection mechanism for payment pages) is a best practice until 31 March 2025, after which it will be required as part of Requirement 12.10.5 and must be fully considered during a PCI DSS assessment. [Purpose]: Responding to alerts generated by security monitoring systems that are explicitly designed to focus on potential risk to data is critical to prevent a breach and therefore, this must be included in the incident-response processes.",Auto-mapped from JSON extraction using lexical + theme scoring (score=0.174). Review for expert calibration.
