Control ID,Title,Description,Instructions,Frameworks,Category
DM.DTME.V1,Data transfer mechanisms established,"Establish proper data transfer mechanisms to protect personal data when it's transferred across borders or to third parties.Identify all instances where personal data is transferred outside your organization or to different jurisdictions. Assess the adequacy of data protection measures in recipient countries or organizations.Implement appropriate transfer mechanisms (e.g., standard contractual clauses, binding corporate rules) based on the nature of the transfer and the recipient.Establish processes to regularly review and update transfer mechanisms as regulatory requirements or organizational practices change. Maintain documentation of all data transfer arrangements and their legal bases.","### Examples of evidence that satisfy this control- Documented inventory of all data transfers, including recipients and transfer mechanisms used- Signed agreements incorporating appropriate data transfer clauses (e.g., Standard Contractual Clauses)- Records of adequacy assessments for recipient countries or organizations- Regular audit reports on the effectiveness and compliance of data transfer mechanisms",gdpr_v1,DATA MANAGEMENT AND PROTECTION
DM.DPFP.V1,De-identification process for PHI established,Establish and implement a documented process for de-identifying protected health information (PHI) to comply with HIPAA requirements and enable the use or disclosure of data without patient authorization if required.,"Develop procedures to remove identifiers from PHI using HIPAA’s safe harbor method (removing all 18 direct identifiers) or expert determination method (certification by a qualified professional). Document the steps taken during the de-identification process, including verification of compliance with HIPAA standards. Maintain secure management of re-identification keys, ensuring they are stored separately and used only for approved purposes.Examples of evidence that fulfills this control- Written documentation of the de-identification process, specifying methods used (safe harbor or expert determination).- Logs of de-identified data sets created, including details of the identifiers removed.","hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.IRTC.V1,Establish Right-To-Correct Request Handling,"The organization must configure a system to handle Right-to-correct management. Under CCPA, the user has a right to have their inaccurate data corrected upon request.","### Action ItemsEstablish at least one accessible method for a user to express a right-to-correct request, such as: web form, email, or phone.### Examples of evidence that satisfy this control1. Screenshot of privacy policy section that includes methods of right-to-correct request handling, Screenshot of backend showing the process for handling. 2. Logs showing the process had been successfully completed for a current user.",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.EPIM.V1,External privacy inquiries managed,"Establish and maintain a system for handling all privacy-related inquiries, including general questions, complaints, disputes, and specific requests for personal information access and correction.","### Examples of evidence that satisfy this control1. A screenshot or logs showing the date of the request, the type of request, resolution status, and the person who handled the inquiry.2. Documentation of authentication processes for verifying data subject identities when requesting access to their personal information.3. Samples of communication templates for various types of responses, including access grants, corrections, and denials with explanations.","gdpr_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, soc2_privacy_v1",DATA MANAGEMENT AND PROTECTION
DM.FDDP.V1,Facility directory disclosure process established,"Establish and maintain a documented process for including protected health information (PHI) in facility directories, ensuring individuals are informed and given the opportunity to agree or object to such disclosures.","Examples of evidence that fulfills this control- Facility directory policy documents detailing the inclusion process and notification procedures.- Records of individuals’ directory preferences, including opt-out or restriction requests.- Documentation of disclosures made from the directory, including the circumstances and recipients.","hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.FCNP.V1,Full card numbers protected and hidden,"Implement different measures to protect full card numbers (i.e. PANs) such as hiding most of the number on screens and receipts with something like asterisks (\*\*\*\*\*\*\*). Establish a list of job roles who need full access, including a rationale why this is the case.Set up your payment system so that it only shows full numbers to people on your access list. Be extra careful with remote access and set up controls to only let those with a real business need copy card numbers.Train your staff accordingly. Review access rights to full card numbers regularly and check your system configurations.","### Examples of evidence that satisfy this control- Screenshots showing masked card numbers on your system- List of roles that need full card number access, with justification- Settings or logs from your remote access tools showing copy restrictions- Records of staff training about protecting card numbers",pci_dss_level_1_v1,DATA MANAGEMENT AND PROTECTION
DM.HGPC.V1,Honor Global Privacy Control (GPC) Signals,Detect and honor Global Privacy Control (GPC) signals from users’ browsers or devices in accordance with CCPA requirements. It automatically respects users’ preferences to opt out of the sale or sharing of their personal information. The control also logs and monitors signal processing to maintain compliance and provide evidence of adherence to consumer privacy requests.,"### Action itemsDesign and implement a GPC management system that detects when a user has these settings configured on their device or browser, and automatically respects the user's preferences. Capture logs to demonstrate that this process is successful.### Examples of evidence that satisfy this control1. Logs showing successful signals being captured, processed, and respected.",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.IB.V1,Information backup,"Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.",,iso27001_direct_v1,DATA MANAGEMENT AND PROTECTION
DM.ID.V1,Information deletion,"Information stored in information systems, devices or in any other storage media shall be deleted when no longer required.",,iso27001_direct_v1,DATA MANAGEMENT AND PROTECTION
DM.IT.V1,Information transfer,"Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.",,iso27001_direct_v1,DATA MANAGEMENT AND PROTECTION
DM.IVU.V1,Input validation used,Implement input validation checks across all system interfaces to ensure data completeness and accuracy before processing. These checks should verify that data meets specified format requirements and business rules.,"#### Action ItemsSet up automated input validation for all data entry points. This includes checking data types, required fields, and format requirements. Document all validation rules and ensure they are consistently applied across the system.### Examples of evidence that satisfy this control- Screenshots of input validation code implementations- Documentation of validation rules and requirements- Error logs showing rejected invalid inputs- Test results demonstrating validation effectiveness",cfr_21_part_11_v1,DATA MANAGEMENT AND PROTECTION
DM.KMPI.V1,Key management process implemented,Implement a key management system covering the entire lifecycle of cryptographic keys.,"### Action ItemsDevelop procedures for key generation, distribution, storage, use, rotation, and destruction. Include processes for handling compromised keys, key recovery, and responding to legal requests for key access.Establish a secure key storage system with role-based access. Implement logging and auditing for all key management activities. Train relevant staff on key management practices and security implications.### Examples of evidence that satisfy this control1. Documented key management and encryption processes defining generation, rotation, and revocation.2. Key management logs showing dates of generation, rotation, and revocation.3. Documentation of regular key inventory reviews, including dates and responsible personnel.",iso27001_v1,DATA MANAGEMENT AND PROTECTION
DM.LOI.V1,Labelling of information,An appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.,,iso27001_direct_v1,DATA MANAGEMENT AND PROTECTION
DM.MROP.V1,Maintain Record of Processing Activities,The organization must maintain a comprehensive and regularly updated record of all personal information processing activities to demonstrate compliance with CCPA.,"### Action itemsCreate and commit to maintaining a log of processing activities including at minimum the following details: a. Categories of personal information processed, collected, or shared (PI [Big Bird, Male, frequents nestadornaments.com, recently purchased Stick Bundle Variety Pack] / SPI [Bigus Canarius (Race/heritage), Puppet (job), 4049 0000 0000 0000 (card number)]).    b. Purposes of collecting information.    c. Categories of sources from where this information was obtained.     d. categories of 3rd parties this information is shared with.  e. retention periods and deletion criteria for each category of information.   f. security and privacy controls defending the information.  g. identification of the data owner.### Examples of evidence that satisfy this control1. A spreadsheet or other log including all of the action items",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.MAFA.V1,Media accounted for and documented during transportation,"Establish a process to protect and control system media containing CUI during transport outside of controlled areas. Ensure accountability through documented activities and tracking of media to prevent loss, tampering, or destruction.","### Action items- Create a process to log and document when media containing CUI is transported outside of controlled areas, where physical or procedural measures are in place to safeguard CUI.### Examples of evidence that satisfy this control- A link or screenshot of past transport logs and documented activities.",nist_800_171_v1,DATA MANAGEMENT AND PROTECTION
DM.MPS.V1,Media physically secured,"Implement physical security measures such as storing all media (like paper documents, laptops, USB drives) in locked cabinets and restricting access to only authorized personnel. Develop a system to classify all media based on the sensitivity of the data it contains. Maintain an inventory for all media, both electronic and physical, and conduct a full inventory check at least once every 12 months.Establish procedures for secure distribution (e.g., logging of all media sent outside the facility, using secure couriers). Obtain management approval before moving any media offsite.Create and log procedures for secure destruction (e.g., shredding paper, secure data wiping methods).Train employees at least yearly so that they can identify and manage this type of confidential data.","### Examples of evidence that satisfy this control- Photographs of locked storage areas and shredding equipment- Copies of employee training materials- Completed logs of media transfers, access to secure areas, and media destruction- Screenshots or exports of the electronic media inventory spreadsheet","nist_800_171_v1, pci_dss_level_1_v1",DATA MANAGEMENT AND PROTECTION
DM.NOPP.V1,Notice of privacy practices created and distributed,"Distribute a Notice of Privacy Practices (NPP) to patients, informing them of their rights under HIPAA and how their PHI will be used and disclosed.",Examples of evidence that fulfills this control- Copies of the NPP provided to patients.- Acknowledgment forms signed by patients confirming receipt of the NPP.- Records of periodic reviews and updates to the NPP.,"hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.PHIA.V1,PHI access and amendment requests managed,Establish and maintain a documented process to manage individuals' requests for accessing and amending their protected health information (PHI).,"Examples of evidence that fulfills this control- Logs of PHI access and amendment requests, including dates, outcomes, and any justifications for denial.- Copies of written responses to amendment requests, including acceptance or denial letters.- Records of PHI provided to individuals in the requested format or justification for alternative formats.","hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.PHID.V1,PHI disclosure records maintained,"Establish a system to track disclosures of PHI, ensuring records of disclosures meet HIPAA requirements for accountability and transparency.",Examples of evidence that fulfills this control- Logs of all PHI disclosures with the required details.- Disclosure tracking reports reviewed periodically by compliance personnel.- Documentation of procedures for responding to requests for accounting of disclosures.,"hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.PAFP.V1,Patient authorization for PHI use and disclosure obtained,"Require and maintain patient authorizations for the use or disclosure of PHI outside of permitted purposes (treatment, payment, and healthcare operations).",Examples of evidence that fulfills this control- Completed authorization forms signed by patients.- Records of training for staff on the use and management of authorization forms.- Audit logs verifying that disclosures without authorization are limited to permitted purposes,"hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.PAPO.V1,Privacy and protection of PII,The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.,,iso27001_direct_v1,DATA MANAGEMENT AND PROTECTION
DM.PDAN.V1,Privacy disclosure and notification mechanisms established,"Implement and maintain active communication channels for informing individuals about specific instances of personal data collection, use, and disclosure. The goal is to provide timely, context-specific privacy information beyond what's in the general privacy policy.Develop templates for data sharing, policy changes, and breach notifications so they can be sent to the relevant stakeholders when needed. This includes identifying relevant authorities, setting up systems to deliver these notices via appropriate channels (e.g., app, email), and establishing a process to handle responses to these notifications.Regularly review and update these mechanisms.","### Examples of evidence that satisfy this control- Screenshots of in-app or point-of-collection privacy disclosures- Logs of sent notifications (e.g., emails about privacy practice changes)- Templates for various types of privacy notifications (e.g., breaches)- List of relevant authorities, including their contact details, that need to be notified in case of information security incidents","gdpr_v1, soc2_privacy_v1",DATA MANAGEMENT AND PROTECTION
DM.PPCA.V1,Privacy policy created and maintained,"A privacy policy is developed, regularly updated, and made accessible to all relevant parties. The goal is to enable transparent communication of data handling practices and to protect individuals' privacy rights.",### Examples of evidence that satisfy this control- Current version of the privacy policy with timestamp- Documentation of annual policy reviews and updates- Screenshots showing the privacy policy's accessibility on the company website- Training records demonstrating employee awareness of the privacy policy,"ccpa_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_v1, soc2_privacy_v1",DATA MANAGEMENT AND PROTECTION
DM.PIPE.V1,Processing integrity policy established,"Establish systematic controls in your processing integrity policy that ensure the completeness, accuracy, validity, timeliness, and authorization of system processing while maintaining data quality throughout the entire processing lifecycle.","Document a processing integrity policy covering data quality specifications, input validation requirements, processing controls, output verification, and storage integrity. Define processes for data validation, error handling, monitoring, and quality assurance. Establish frameworks for measuring and maintaining processing accuracy and completeness. Create procedures for managing processing changes, capacity monitoring, and system performance.Document requirements for quality metrics, processing logs, error tracking, and regular processing reviews.### Examples of evidence that satisfy this control- Creating a processing integrity policy in the Oneleet policy builder.- A PDF upload of your processing integrity policy hosted in your documents provider.- Screenshots showing implementation of your data validation processes and quality controls.- System logs demonstrating input validation, processing monitoring, and output verification.- Documentation of error handling procedures and correction logs.",,DATA MANAGEMENT AND PROTECTION
DM.RCGA.V1,Record copies generated and export enabled,Enable generating complete and precise copies of electronic records in both human‑readable and electronic formats for regulatory examination.,"#### Action Items1. Implement export/download functionality (PDF, CSV, XML).2. Enable human‑readable display or print views.3. Validate fidelity of outputs.### Examples of evidence that satisfy this control- Sample exports (PDF/CSV) showing full record including audit trails and e‑signatures.- UI screenshots of export workflows.- Fidelity comparison reports between original and exported records.",cfr_21_part_11_v1,DATA MANAGEMENT AND PROTECTION
DM.RTDR.V1,Right to Delete Request Handling,"The organization must configure a system to handle Right-to-delete management. Under CCPA, the user has a right to have their data deleted upon request.","### Action ItemsEstablish 2 methods of contact for a user to express a right-to-delete request. (web form, phone, email)### Examples of evidence that satisfy this control1. Screenshot of privacy policy section that includes methods of delete request handling, Screenshot of backend showing the process for handling. 2. Logs showing the process had been successfully completed for a current user.",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.RTLU.V1,Right to Limit Use of Sensitive PI,"The organization must configure a system to handle Right-to-limit use of SPI. Under CCPA, the user has a right to have their sensitive data not be shared upon request.","### Action ItemsEstablish 2 methods of contact for a user to express a right to limit use of SPI-request. (web form, phone, email)### Examples of evidence that satisfy this control1. Screenshot of privacy policy section that includes methods of right to limit use request handling, Screenshot of backend showing the process for handling. 2. Logs showing the process had been successfully completed for a current user.",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.IRTO.V1,Right to Opt out of Sale and Sharing,"The organization must configure a system to handle Right-to-Opt-out of sale. Under CCPA, the user has a right to have their data not be shared upon request.","### Action ItemsEstablish 2 methods of contact for a user to express a right-to-opt-out-of-sale request. (web form, phone, email)### Examples of evidence that satisfy this control1. Screenshot of privacy policy section that includes methods of opt out request handling, Screenshot of backend showing the process for handling. 2. Logs showing the process had been successfully completed for a current user.",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.RTKR.V1,Right-to-Know Request Handling,"The organization must configure a system to handle Right-to-know management. Under CCPA, the user has a right to know what data of theirs has been collected.","### Action ItemsEstablish 2 methods of contact for a user to express a right-to-know request. (web form, phone, email)### Examples of evidence that satisfy this control1. Screenshot of privacy policy section that includes methods of right-to-know handling. Screenshot of backend showing the process for handling.2. Logs showing the process had been successfully completed for a current user.",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.RSPT.V1,Role-Specific Privacy Training,"This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers the handling of personal information, consumer rights, and organizational policies for protecting data. Completion is tracked, and refresher sessions are provided periodically to maintain awareness and compliance across the workforce.","### Action itemsAssign role-based security training by user or by group. Ensure that everyone takes a CCPA training.### Examples of evidence that satisfy this control1. Oneleet monitors for CCPA training passing 2. Uploaded records of course completion for the entire workforce, including the name and scope of the course they took.",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.SDPE.V1,Secure disposal process established,"Establish and maintain a documented procedure for the secure disposal of electronic and physical media containing protected or classified data. This process renders the data unusable, unreadable, and indecipherable to prevent unauthorized access.","Examples of evidence that fulfills this control- A documented disposal procedure describing methods for securely destroying media containing protected information- Logs or records of disposal activities, including media type, date, method of destruction, and verification.- Certificates of destruction provided by third-party vendors for media containing protected information.- Incident records demonstrating how the disposal procedure was followed during media destruction events.","hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.SPIA.V1,Sensitive payment information automatically deleted,"Implement a system that automatically deletes sensitive payment information after it's no longer needed for business or legal purposes.For the purposes of this control sensitive data is any of the following:- Full track data (all the info from a card's magnetic stripe)- Card verification code (the 3 or 4 digit code on the card)- PIN (Personal Identification Number) or PIN blockConfigure your payment system to automatically delete this sensitive data right after approval. If you must keep it temporarily and have a solid business justification, make sure it's encrypted and deleted as soon as possible.Implement regular checks and reviews to make sure that no sensitive data is being stored. Train your team and instruct them to not write down or store this sensitive data",### Examples of evidence that satisfy this control- Screenshots of your payment system configuration showing your payment system doesn't store this data- Logs showing automatic deletion of sensitive data after transactions- Records of staff training on this topic,pci_dss_level_1_v1,DATA MANAGEMENT AND PROTECTION
DM.SMOH.V1,Signature manifestation on human‑readable forms displayed,"Ensure that the printed name, date/time of signing, and meaning of the signature appear and are controlled like the record itself on any display or printout of a signed electronic record.","#### Action Items1. Configure UI and print/PDF templates to display: signer’s printed name, signing date/time (with time zone), and meaning (e.g., Approved/Reviewed).2. Ensure these fields are non‑editable and part of the record rendering.3. Validate that displays/printouts include manifestations for all signed states.4. Time‑synchronize systems used to render signatures.### Examples of evidence that satisfy this control- Screenshots and PDFs of signed records showing name, timestamp, and meaning.- Template or report definitions demonstrating non‑editable signature blocks.- Test scripts/results verifying manifestations appear on screen and printouts.- NTP configuration records/time sync logs.",cfr_21_part_11_v1,DATA MANAGEMENT AND PROTECTION
DM.SMP.V1,Signature manifestation provided,"Ensure electronic signatures clearly indicate signer identity, timestamp, and purpose on human‑readable outputs.","#### Action Items1. Display printed name, timestamp, purpose on UI and print.2. Include same in exports.3. Apply same controls as records.### Examples of evidence that satisfy this control- Example signed record displaying signature name, date/time, meaning.- UI configuration showing signature manifestations.- Export demonstrating proper signature metadata.",cfr_21_part_11_v1,DATA MANAGEMENT AND PROTECTION
DM.SBTR.V1,Signatures bound to records,Permanently link each signature to its record to prevent dissociation or fraud.,#### Action Items1. Store signature metadata tied to record.2. Implement technical protections against detached signatures.3. Monitor tampering attempts.### Examples of evidence that satisfy this control- System schema showing signature metadata linkage.- Sample record with embedded signature metadata.- Audit logs showing attempted signature tampering.,cfr_21_part_11_v1,DATA MANAGEMENT AND PROTECTION
DM.SUNM.V1,System use notification mechanisms established,Implement and maintain a system use notification message that includes privacy and security notices and must be displayed and acknowledged before granting access to any system accessing sensitive data.,### Action Items- Configure a system use notification banner/message that is displayed at login before access is granted.- Ensure the notification includes privacy and security notices.- Require users to acknowledge the notification before proceeding with system access.### Examples of evidence that satisfy this control- Screenshots of the system use notification banner/message displayed at login.- Documentation showing the approved notification text that includes privacy and security notices.- Logs showing user acknowledgment of the notification before system access.,nist_800_171_v1,DATA MANAGEMENT AND PROTECTION
DM.TI.V1,Test information,"Test information shall be appropriately selected, protected and managed.",,iso27001_direct_v1,DATA MANAGEMENT AND PROTECTION
DM.TGAR.V1,Track Gaps and Remediation,"This control ensures that any gaps identified in the privacy program—whether through audits, assessments, or regulatory reviews—are formally tracked and addressed. It requires the organization to document each gap, assign remediation actions, monitor progress, and verify completion to maintain compliance with CCPA and related privacy requirements. The control supports continuous improvement by ensuring that privacy risks are systematically mitigated and accountability is maintained.","## Action itemsImplement a tracker to note any privacy or security gaps, and track resolution. ### Examples of evidence that satisfy this control1. Show the tracker designed to catch this information",ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.STTH.V1,Travel to high-risk locations secured,"Establish more stringent configurations for systems or components issued to employees traveling to high-risk areas. Upon return, conduct post-travel inspections of devices.",### Action itemsEnsure devices have the following configurations for individuals traveling to high-risk locations:- Full-disk encryption.- Minimal software installations.- Remote wipe capabilities.- Restricted access permissions.Perform a physical inspection of returned devices to check for tampering. Conduct a malware scan to detect and remove potential threats.,nist_800_171_v1,DATA MANAGEMENT AND PROTECTION
DM.UPHI.V1,Unintended PHI contained and deleted,Establish a process to contain and securely delete any Personal Health Information (PHI) added accidentally by your users.,"### Action itemsDefine a clear workflow for handling unintended PHI in your systems once identified. At a minimum, this should include:- Limiting access to the identified data immediately upon detection, and- Securely deleting PHI using approved deletion or purge processes (aligned with your data management policy).Once completed, document your actions taken, including timeframes and involved personnel.### Examples of evidence that fulfills this control- Internal documentation outlining your deletion/remediation process once PHI is identified- Screenshots or logs from ticketing systems or internal tools (with redacted PHI)- Secure deletion confirmation or audit logs",hipaa_business_associate_no_phi_v1,DATA MANAGEMENT AND PROTECTION
DM.UPHI.V1,Unintended PHI detected,"Implement mechanisms to detect PHI in your systems in case it accidentally gets added by your users, with an escalation process when potential PHI is detected.","### Action itemsSet up keyword or pattern-based alerts (e.g., using DLP tools, regex, or logging filters) to flag potential PHI in inputs such as support tickets, file uploads, or user-submitted forms.Establish a clear internal reporting and escalation workflow when potential PHI is detected.### Examples of evidence that fulfills this control- Screenshot or configuration of keyword/PATTERN detection rules (e.g., regex for SSNs, ICD codes, etc.)- Alerts or logs showing flagged incidents (redacted if necessary)- Internal documentation for PHI detection and escalation- Example communication (e.g., Slack/email) showing internal reporting of a flagged PHI case",hipaa_business_associate_no_phi_v1,DATA MANAGEMENT AND PROTECTION
DM.UPHI.V1,Unintended PHI exposure reviewed,"Establish a regular process to review all instances of unintended Personal Health Information (PHI) exposure to understand the root cause, assess impact, and determine whether any changes are needed to prevent future exposures.","### Action itemsPerform a timely review of each PHI exposure incident once containment and deletion are complete, at a minimum including:- Identifying the source of the exposure (e.g., user behavior, product flaw, process gap).- Documenting findings and implementing lessons learned.If recurring patterns are found, consider updating your privacy risk assessments or product safeguards.### Examples of evidence that fulfills this control- Post-incident review of unintended PHI exposure- Meeting notes or summaries from internal incident review- Screenshots showing revisions made to forms, UI, alerts, or documentation if applicable",hipaa_business_associate_no_phi_v1,DATA MANAGEMENT AND PROTECTION
DM.UADO.V1,Use and disclosure of PHI managed,"Implement procedures to operationalize the policy defining the permissible uses and disclosures of protected health information (PHI), ensuring compliance with HIPAA requirements in day-to-day activities.","Examples of evidence that fulfills this control- Documentation of approval workflows for non-routine disclosures.- Standard operating procedures (SOPs) detailing step-by-step processes for evaluating, approving, and documenting PHI disclosures.","hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.VOCI.V1,Verification of Consumer Identity,"Verify the identity of consumers submitting privacy requests in accordance with CCPA requirements. Verification procedures ensure that access, deletion, or opt-out requests are processed only for legitimate requestors, protecting personal information from unauthorized disclosure. The process is documented, monitored, and updated as needed to maintain security and regulatory compliance.",### Action ItemsEstablish a process for verifying the identity of the requestor to ensure that the individual owns the data being changed or accessed.### Examples of evidence that satisfy this control1. Show a written process for verifying identity of requestor2. Show a completed verification,ccpa_v1,DATA MANAGEMENT AND PROTECTION
DM.VPE.V1,Verification procedures established,Establish and maintain documented procedures for verifying the identity and authority of individuals or entities requesting access to protected information.,"Examples of evidence that fulfills this control- A written verification procedure document specifying acceptable identification and authority verification methods.- Logs of verification activities, including requestor details and methods used.- Documentation of denied requests, including reasons and any follow-up actions taken.","hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1",DATA MANAGEMENT AND PROTECTION
DM.WSAP.V1,Workflow sequencing and process controls enforced,Ensure processes enforce correct sequence of operations and detect invalid transitions.,"#### Action Items1. Model workflows with sequencing constraints.2. Implement system-level enforcement (e.g., gating, state transitions).3. Log sequence violations.### Examples of evidence that satisfy this control- Workflow diagrams and logic documentation.- Implementation screenshots of enforced sequences.- Logs or alerts capturing sequence violations.",cfr_21_part_11_v1,DATA MANAGEMENT AND PROTECTION
DR.ABE.V1,Automated backups enabled,Automated backups are enabled for all high-risk data and critical systems.,"### Action itemsEstablish a system for automated backups on all high-risk data and critical systems. Ensure that this system is secure and that it backs up data on a regular basis, according to your organization's needs.### Examples of evidence that satisfy this control1. Oneleet monitors passing for all supported integrations, with automated backups enabled on all critical systems.2. Screenshots of backup configuration settings enabled on every critical system.","cfr_21_part_11_v1, cis_ig1_v1, eu_dora_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, nist_800_171_v1, oneleet_essentials_v1, oneleet_pro_v1, pci_dss_level_1_v1, soc2_v1",DISASTER RECOVERY
DR.BCAD.V1,Business continuity and disaster recovery plan documented,Document clear and practical business continuity and disaster recovery plan that outline procedures for maintaining essential operations during disruptions.,"**Action Items**Create an overarching business continuity and disaster recovery plan for your critical business systems or services, including:- Recovery time goals (e.g., ""Customer database must be back online within 8 business hours"").- Acceptable data loss limits where applicable (e.g., ""Accounting data must not lose more than 1 day of entries"").- Step-by-step recovery or continuity procedures.- List of responsible team members and their contact information.Review and update the plan after any significant changes to the IT infrastructure or business processes. Keep a log of test results and any issues encountered.### Examples of evidence that satisfy this control1. Documented business continuity and disaster recovery plan. Reach out to the Oneleet team for a template if needed.2. Emails or meeting notes showing the plan was recently reviewed and approved by management.",eu_dora_v1,DISASTER RECOVERY
DR.CADR.V1,Business continuity and disaster recovery policy established,"A comprehensive business continuity and disaster recovery policy is established, outlining the organization's strategies for responding to disruptive incidents and supporting business continuity.","### Action itemsDocument a business continuity and disaster recovery policy that outlines how your organization will respond to disruptive events, how you will promote the continuity of operations, and how you will recover in the event of a disaster.Review and update this policy regularly to account for changes in your organization.### Examples of evidence that satisfy this control1. Business continuity and disaster recovery policy uploaded to the Oneleet policy builder.2. PDF upload of the business continuity and disaster recovery policy with a dated version history.","eu_dora_v1, gdpr_v1, hipaa_business_associate_no_phi_v1, hipaa_business_associate_v1, hipaa_clearinghouse_v1, hipaa_health_plan_v1, hipaa_provider_v1, hipaa_v1, iso27001_v1, pci_dss_level_1_v1, soc2_v1",DISASTER RECOVERY
DR.BCPD.V1,Business continuity plans documented,Document clear and practical business continuity plans that outline procedures for maintaining essential operations during disruptions.,"### Action ItemsCreate separate, concise continuity plans for your critical business systems or services. For each plan, include:- Recovery time goals (e.g., ""Customer database must be back online within 8 business hours"").- Acceptable data loss limits where applicable (e.g., ""Accounting data must not lose more than 1 day of entries"").- Step-by-step recovery or continuity procedures.- List of responsible team members and their contact information.Implement a testing schedule for the continuity plans. Review and update the plan after any significant changes to the IT infrastructure or business processes. Keep a log of test results and any issues encountered.### Examples of evidence that satisfy this control1. Individual continuity plan documents for each critical system, including recovery steps and a list of team members responsible.2. Emails or meeting notes showing the plan was recently reviewed and approved by management.3. A master document listing all continuity plans with their last review and test dates.","eu_dora_v1, iso27001_v1",DISASTER RECOVERY
DR.BCPT.V1,Business continuity plans tested,Regularly test your business continuity plans to confirm their effectiveness and readiness to maintain critical operations during disruptions.,"**Action items**Schedule regular tests (at least annually) to evaluate your business continuity plan’s effectiveness and alignment with organizational goals. Use tabletop exercises or live simulations to test response capabilities for various disruption scenarios, involving relevant personnel across departments.Record outcomes, identify areas needing improvement, and implement corrective actions to strengthen the plan.### Examples of evidence that satisfy this control1. Documentation of test scenarios completed, list of attendees, date of testing, and frequency of testing.2. Summarized test results showing identified improvements and assigned corrective actions.3. Follow-up showing that corrective actions identified were subsequently completed.",eu_dora_v1,DISASTER RECOVERY
DR.BIAP.V1,Business impact analysis performed,"To identify and prioritize critical business functions, assess potential impacts of disruptions, and determine recovery strategies through systematic business impact analysis (BIA).","### Action ItemsImplement a formal BIA process to identify critical business processes, systems, and dependencies across organizational units. Document maximum tolerable periods of disruption (MTPD), recovery time objectives (RTO), and recovery point objectives (RPO) for each critical process. Map dependencies between business processes, IT systems, and third-party services. Review and update the BIA annually and after major organizational changes. Present BIA results to stakeholders for incorporation into business continuity strategies.### Examples of evidence that satisfy this control- Documented BIA methodology and procedures.- RTO and RPO documentation for critical processes.","eu_dora_v1, iso27001_v1",DISASTER RECOVERY
